precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SÂRBILOR DIN ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
37,TIMIŞ,"PRIMĂRIA VECHE CRUCENI",402,FOENI,157004,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:14:13",490,472,0,13,5,263,245,0,13,5,248,15,511,248,13,25,139,7,51,13
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ FOENI",401,FOENI,157004,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:24:48",1038,993,2,13,30,587,543,1,13,30,568,19,1100,513,44,33,407,48,4,32
