precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PÓKA ANDREI-GHEORGHE-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","BARA COSMIN-VIOREL-PARTIDUL SOCIAL DEMOCRAT-voturi"
13,CLUJ,"ALUNISU NR.74 CAMINUL CULTURAL",619,SÂNCRAIU,59434,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:15:38",95,88,2,3,2,61,55,1,3,2,56,5,102,41,48,8
13,CLUJ,"DOMOSU NR.22 CAMINUL CULTURAL",620,SÂNCRAIU,59434,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:36:02",277,263,0,6,8,213,199,0,6,8,209,4,299,86,190,19
13,CLUJ,"ȘCOALA PROFESIONALĂ ADY ENDRE",618,SÂNCRAIU,59434,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:03:43",908,854,5,2,47,710,661,0,2,47,691,19,986,276,644,47
