precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-voturi"
15,COVASNA,"ARENA SEPSI",47,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:43:52",127,115,2,8,2,90,80,0,8,2,87,3,200,110,3,3,3,71,2,2,3
15,COVASNA,"CĂMIN CULTURAL",50,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:40:49",393,387,0,6,0,193,187,0,6,0,189,4,495,302,3,5,3,137,1,5,35
15,COVASNA,"CĂMIN CULTURAL",49,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:31:22",712,703,0,5,4,312,303,0,5,4,304,8,800,488,1,13,9,261,4,6,10
15,COVASNA,"CASA DE CULTURĂ ”KÓNYA ÁDÁM”",1,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:27:09",1379,1357,5,9,8,669,652,0,9,8,652,17,1526,857,14,18,9,569,15,7,20
15,COVASNA,"CENTRUL MULTICULTURAL ”NÉRI SZENT FÜLÖP”",2,"MUNICIPIUL SFÂNTU GHEORGHE",63394,3,PART,PRCNCT,CL,CL_SV,"2024-06-14 14:51:53",1365,1355,2,7,1,543,534,1,7,1,436,107,1500,957,8,9,12,337,52,7,11
15,COVASNA,"COLEGIUL NAȚIONAL ”SZÉKELY MIKÓ”",3,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:30:50",1088,1062,11,8,7,528,513,0,8,7,520,8,1200,672,12,23,15,401,22,23,24
15,COVASNA,"DIRECŢIA FINANŢE PUBLICE MUNICIPALE",5,"MUNICIPIUL SFÂNTU GHEORGHE",63394,3,PART,PRCNCT,CL,CL_SV,"2024-06-14 15:14:11",815,793,5,11,6,410,393,0,11,6,404,6,900,490,10,18,8,323,29,6,10
15,COVASNA,"DIRECȚIA FINANȚE PUBLICE MUNICIPALE",4,"MUNICIPIUL SFÂNTU GHEORGHE",63394,2,PART,PRCNCT,CL,CL_SV,"2024-06-14 15:06:07",818,799,2,11,6,380,363,0,11,6,376,4,900,520,17,21,11,281,18,15,13
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”ÁRVÁCSKA”",24,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:41:06",817,811,0,3,3,280,274,0,3,3,269,11,900,620,20,7,10,209,13,8,2
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”ÁRVÁCSKA”",23,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:55:55",1237,1223,1,5,8,452,439,0,5,8,436,16,1400,948,26,12,22,337,19,9,11
15,COVASNA,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”ÁRVÁCSKA”",25,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:22:43",1151,1136,1,9,5,392,378,0,9,5,384,8,1300,908,16,13,10,319,12,7,7
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”BENEDEK ELEK”",39,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:07:54",902,888,1,8,5,443,430,0,8,5,439,4,1000,557,17,22,19,329,30,9,13
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”GULLIVER”",13,"MUNICIPIUL SFÂNTU GHEORGHE",63394,2,PART,PRCNCT,CL,CL_SV,"2024-06-14 15:02:26",856,841,4,5,6,378,363,4,5,6,372,6,900,522,8,12,8,327,6,6,5
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”GULLIVER”",12,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:18:55",943,926,6,2,9,426,415,0,2,9,421,5,1000,574,3,7,4,372,4,5,26
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”GULLIVER”",10,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:16:38",1614,1589,8,8,9,794,778,0,8,8,792,2,1700,906,16,21,16,651,17,28,43
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”GULLIVER”",11,"MUNICIPIUL SFÂNTU GHEORGHE",63394,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:31:10",1436,1414,4,9,9,654,637,0,9,8,644,10,1588,934,14,16,9,555,15,15,20
15,COVASNA,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”GULLIVER”",14,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:53:39",959,941,3,13,2,408,393,0,13,2,401,7,1000,592,17,15,9,321,17,9,13
