precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SILASI VASILE-ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","BERCENI ANDREEA-VALENTINA-PARTIDUL NAȚIONAL LIBERAL-voturi","DUMA DĂNUŢ-IOAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ANTAL ALEXANDRU-IOAN-PARTIDUL PATRIOȚILOR-voturi"
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BUZA-CĂTUN",111,CHIOCHIŞ,33015,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:58:39",96,92,0,4,0,62,58,0,4,0,62,0,100,38,24,31,6,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL JIMBOR",113,CHIOCHIŞ,33015,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:21:58",343,337,0,1,5,212,206,0,1,5,209,3,340,128,133,67,5,4
6,BISTRIŢA-NĂSĂUD,"GRĂDINIȚA BOZIEŞ",110,CHIOCHIŞ,33015,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:04:11",512,489,0,2,21,352,329,0,2,21,349,3,510,158,226,99,7,17
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI CHIOCHIŞ",108,CHIOCHIŞ,33015,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:56:20",293,283,0,0,10,193,183,0,0,10,190,3,300,107,81,79,20,10
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ APATIU",109,CHIOCHIŞ,33015,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:44:33",224,220,0,3,1,153,149,0,3,1,148,5,230,77,64,78,3,3
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ CHEŢIU",112,CHIOCHIŞ,33015,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:34:15",257,245,0,3,9,172,160,0,3,9,167,5,263,91,95,68,2,2
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ MANIC",114,CHIOCHIŞ,33015,5,PART,PRCNCT,P,P_SV,"2024-06-10 05:33:27",178,174,0,1,3,124,120,0,1,3,120,3,180,56,65,48,4,3
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ SÎNNICOARĂ",115,CHIOCHIŞ,33015,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:45:32",98,86,0,9,3,68,56,0,9,3,67,1,100,32,35,29,0,3
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ STRUGURENI",116,CHIOCHIŞ,33015,3,PART,PRCNCT,P,P_SV,"2024-06-10 04:10:36",164,154,0,5,5,113,103,0,5,5,111,2,175,62,66,38,5,2
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ ŢENTEA",117,CHIOCHIŞ,33015,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:17:18",78,75,1,2,0,54,52,0,2,0,51,3,85,31,15,27,1,8
