precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DASCĂLU ŞTEFAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ŞTEFAN ROBERT-FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","HOBINCĂ CONSTANTIN-SERIOJA-PARTIDUL SOCIAL DEMOCRAT-voturi"
24,IAŞI,"CĂMIN CULTURAL",576,MOŢCA,98220,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:11:48",1526,1520,0,1,5,763,757,0,1,5,726,37,1660,897,48,248,430
24,IAŞI,"CĂMIN CULTURAL",577,MOŢCA,98220,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:05:29",1460,1454,0,3,3,707,701,0,3,3,684,22,1600,891,33,219,432
24,IAŞI,"CĂMINUL CULTURAL BOURENI",578,MOŢCA,98220,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:37:37",1155,1127,0,5,23,530,502,0,5,23,500,30,1300,770,33,100,367
