precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","AMARIEI VASILE-voturi"
11,CARAŞ-SEVERIN,"CENTRUL DE AFACERI ANINA",93,"ORAŞ ANINA",50889,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:27:12",814,793,1,11,9,364,343,1,11,9,345,19,878,514,37,151,75,41,34,7
11,CARAŞ-SEVERIN,"CENTRUL DE ZI ANINA",97,"ORAŞ ANINA",50889,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:48:59",634,618,0,11,5,291,275,0,11,5,276,15,680,389,30,122,67,28,22,7
11,CARAŞ-SEVERIN,"GRĂDINIŢA CU PROGRAM NORMAL NR. 1 CELNIC",94,"ORAŞ ANINA",50889,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:18:52",622,611,1,7,3,224,214,0,7,3,212,12,678,454,19,63,52,47,17,14
11,CARAŞ-SEVERIN,"GRĂDINIŢA CU PROGRAM NORMAL NR.4 SIGISMUND",99,"ORAŞ ANINA",50889,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:30:00",550,538,1,7,4,198,187,0,7,4,180,18,603,405,26,75,26,16,22,15
11,CARAŞ-SEVERIN,"GRĂDINIŢA CU PROGRAM NORMAL NR.5 STEIERDORF",101,"ORAŞ ANINA",50889,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:25:55",564,551,1,9,3,230,218,0,9,3,220,10,606,376,29,84,57,29,17,4
11,CARAŞ-SEVERIN,"LICEUL ”MATHIAS HAMMER”",92,"ORAŞ ANINA",50889,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:45:02",845,788,4,9,44,352,299,0,9,44,322,30,868,516,33,141,70,52,21,5
11,CARAŞ-SEVERIN,"ŞCOALA GIMNAZIALĂ NR.1 CELNIC ( FOSTA GRĂDINIȚĂ CU PROGRAM NORMAL NR. 2 ORAȘUL NOU)",96,"ORAŞ ANINA",50889,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:44:47",605,595,0,9,1,200,190,0,9,1,195,5,658,458,29,56,78,7,18,7
11,CARAŞ-SEVERIN,"ŞCOALA GIMNAZIALĂ NR.2 STEIERDORF",100,"ORAŞ ANINA",50889,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:29:10",1080,1053,3,11,13,436,410,2,11,13,406,30,1053,617,34,154,130,52,20,16
11,CARAŞ-SEVERIN,"ŞCOALA GIMNAZIALĂ NR.3 BRĂDET",102,"ORAŞ ANINA",50889,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:47:17",311,306,0,4,1,130,125,0,4,1,125,5,339,208,7,79,30,6,2,1
11,CARAŞ-SEVERIN,"SEDIUL DEPOZITUL FINAL CÂNTAR",98,"ORAŞ ANINA",50889,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:32:28",615,589,8,10,8,258,240,0,10,8,237,18,650,392,27,85,75,20,15,15
11,CARAŞ-SEVERIN,"SEDIUL S.C. GOSTRANS S.A.",95,"ORAŞ ANINA",50889,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:06:44",494,482,0,10,2,202,190,0,10,2,188,14,535,333,28,68,54,28,9,1
