precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU LUGAȘ-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","PARTIDUL PRO ROMÂNIA-voturi"
5,BIHOR,"CĂMINUL CULTURAL LUGAȘU DE JOS",434,"LUGAŞU DE JOS",29902,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:10:33",1455,1377,1,47,30,944,867,0,47,30,879,65,1506,562,61,129,131,355,46,149,6,2
5,BIHOR,"CĂMINUL CULTURAL LUGAȘU DE SUS",435,"LUGAŞU DE JOS",29902,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:50:43",503,470,0,18,15,503,470,0,18,15,476,27,742,239,108,40,131,132,26,35,3,1
5,BIHOR,"CĂMINUL CULTURAL URVIND",436,"LUGAŞU DE JOS",29902,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:57:32",828,742,2,35,49,613,529,0,35,49,597,16,813,200,22,18,12,485,6,6,48,0
