precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PUTINEANU MARIUS-MUGUREL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MAGEREANU IOANA-PARTIDUL SOCIAL DEMOCRAT-voturi"
36,TELEORMAN,"SCOALA CU CLASELE I-VIII ” BADEA NEGREANU ”",298,ŞTOROBĂNEASA,154497,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:42:48",1031,969,0,25,37,712,687,0,25,0,695,17,1110,381,407,288
36,TELEORMAN,"SCOALA GIMNAZIALA ”VASILE RACOTTA”",297,ŞTOROBĂNEASA,154497,1,PART,PRCNCT,P,P_SV,"2024-06-10 15:21:47",1346,1266,1,36,43,917,838,0,36,43,885,32,1431,514,388,497
