precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL CICEU-MIHĂIEŞTI",124,CICEU-MIHĂIEŞTI,179953,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:55:26",742,734,1,2,5,401,393,1,2,5,364,33,736,339,155,61,40,30,78
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GENERALĂ CICEU-CORABIA",125,CICEU-MIHĂIEŞTI,179953,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:59:22",117,105,0,10,2,79,67,0,10,2,71,8,120,41,33,7,1,10,20
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GENERALĂ LELEŞTI",126,CICEU-MIHĂIEŞTI,179953,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:43:53",121,112,1,8,0,74,66,0,8,0,70,4,120,46,47,12,0,0,11
