precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi","FORȚA DREPTEI-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","NICOLAE SORIN-MARIAN-voturi"
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL POTIGRAFU, COMUNA GORGOTA",435,GORGOTA,133508,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:20:57",1034,1030,0,4,0,558,554,0,4,0,537,21,1150,592,358,45,62,27,29,0,16
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL SAT GORGOTA, COMUNA GORGOTA",432,GORGOTA,133508,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:43:41",1146,1140,0,6,0,616,610,0,6,0,588,28,1200,584,390,41,69,24,24,11,29
31,PRAHOVA,"ȘCOALA GIMNAZIALĂ SAT POIENARII APOSTOLI, COMUNA GORGOTA",434,GORGOTA,133508,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:00:30",1072,1068,1,3,0,544,541,0,3,0,517,27,1200,656,371,29,69,15,3,9,21
31,PRAHOVA,"ȘCOALA PRIMARĂ SAT CRIVINA, COMUNA GORGOTA",433,GORGOTA,133508,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:53:30",726,719,0,6,1,391,384,0,6,1,377,14,800,409,237,17,64,3,7,4,45
