precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BLOCUL SUVERANIST ROMÂN-voturi"
17,DOLJ,"DISPENSAR UMAN",513,ŢUGLUI,74509,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:22:03",227,217,0,10,0,140,130,0,10,0,129,11,301,161,3,60,31,33,2
17,DOLJ,"GRĂDINIȚA NR 2 ȚUGLUI",512,ŢUGLUI,74509,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:57:26",901,878,0,9,14,598,575,0,9,14,577,21,1000,402,36,216,268,19,38
17,DOLJ,"ȘCOALA GIMNAZIALĂ ȚUGLUI",511,ŢUGLUI,74509,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 12:14:01",1312,1279,1,15,17,875,843,0,15,17,838,37,1344,469,87,330,382,18,21
