precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL SOCIALIST ROMÂN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA PUTERNICĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","GĂLBINAŞ SORIN-voturi"
9,BRĂILA,"CASA CORPULUI DIDACTIC",86,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:30:45",1080,1073,1,6,0,397,391,0,6,0,382,9,1200,809,40,177,40,10,30,6,55,1,5,18
9,BRĂILA,"COLEGIUL ECONOMIC „ION GHICA”",84,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:46:24",1069,1059,4,6,0,428,422,0,6,0,417,11,1200,772,70,197,48,13,20,3,47,1,5,13
9,BRĂILA,"COLEGIUL ECONOMIC „ION GHICA”",85,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 11:17:32",1293,1282,3,7,1,497,489,0,7,1,467,24,1450,959,53,232,66,8,41,2,49,3,6,7
9,BRĂILA,"COLEGIUL NAȚIONAL „ANA ASLAN”",38,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:32:57",1335,1330,0,5,0,457,452,0,5,0,439,18,1500,1021,43,269,43,18,24,3,14,3,5,17
9,BRĂILA,"COLEGIUL NAȚIONAL „ANA ASLAN”",36,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:36:07",1007,997,3,7,0,437,430,0,7,0,420,16,1100,664,52,240,39,13,19,5,41,0,5,6
9,BRĂILA,"COLEGIUL NAȚIONAL „ANA ASLAN”",37,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:15:05",1337,1333,0,4,0,576,572,0,4,0,560,16,1500,924,53,350,60,33,11,2,26,5,8,12
9,BRĂILA,"COLEGIUL NAȚIONAL „ANA ASLAN”",34,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:31:47",827,824,0,3,0,237,234,0,3,0,229,8,900,663,35,111,30,2,21,1,19,1,6,3
9,BRĂILA,"COLEGIUL NAȚIONAL „ANA ASLAN”",35,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:01:03",1204,1200,0,4,0,441,437,0,4,0,424,17,1300,859,53,264,36,3,24,2,34,0,2,6
9,BRĂILA,"COLEGIUL NAȚIONAL „GHEORGHE MUNTEANU MURGOCI”",56,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:40:42",1109,1095,8,6,0,494,488,0,6,0,477,17,1200,706,64,268,49,8,10,4,54,3,8,9
9,BRĂILA,"COLEGIUL NAȚIONAL „GHEORGHE MUNTEANU MURGOCI”",57,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:24:37",1167,1150,3,14,0,469,452,3,14,0,447,17,1250,781,73,218,41,29,17,3,45,1,2,18
9,BRĂILA,"COLEGIUL NAŢIONAL „NICOLAE BĂLCESCU”",63,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:01:45",1244,1238,1,5,0,463,458,0,5,0,437,26,1400,937,49,211,74,6,31,2,46,2,5,11
9,BRĂILA,"COLEGIUL NAȚIONAL PEDAGOGIC „DUMITRU PANAITESCU PERPESSICIUS”",93,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:34:18",1115,1109,0,6,0,474,468,0,6,0,464,10,1250,776,59,289,30,7,16,4,40,5,5,9
9,BRĂILA,"COLEGIUL NAȚIONAL PEDAGOGIC „DUMITRU PANAITESCU PERPESSICIUS”",94,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:22:08",1082,1072,2,8,0,429,419,2,8,0,400,19,1200,781,31,259,43,7,13,2,31,1,2,11
9,BRĂILA,"COLEGIUL TEHNIC „EDMOND NICOLAU”",40,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:27:28",1292,1284,0,7,1,552,544,0,7,1,532,12,1450,886,64,308,44,12,31,6,44,1,8,14
9,BRĂILA,"COLEGIUL TEHNIC „EDMOND NICOLAU”",39,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:35:21",1391,1370,0,21,0,532,511,0,21,0,513,19,1600,1068,58,292,57,46,16,1,31,2,3,7
9,BRĂILA,"COLEGIUL TEHNIC „PANAIT ISTRATI”",70,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:40:22",774,765,0,9,0,321,312,0,9,0,313,8,850,529,25,188,38,17,12,2,13,0,4,14
9,BRĂILA,"COLEGIUL TEHNIC „PANAIT ISTRATI”",69,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:37:34",1233,1227,1,5,0,486,481,0,5,0,477,9,1350,864,53,268,61,12,12,0,50,0,7,14
9,BRĂILA,"COLEGIUL TEHNIC „PANAIT ISTRATI”",71,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:33:29",1192,1182,0,10,0,462,452,0,10,0,445,17,1301,839,51,238,49,15,24,1,43,2,3,19
9,BRĂILA,"COMPANIA DE UTILITĂȚI PUBLICE „DUNĂREA” SA BRĂILA",41,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:27:59",1405,1395,0,10,0,545,535,0,10,0,521,16,1500,919,43,299,64,15,41,8,36,0,2,13
9,BRĂILA,"GRĂDINIȚA CU PROGRAM NORMAL WALDORF",46,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:51:26",786,760,4,4,18,369,347,0,4,18,359,10,850,481,60,192,31,14,12,0,32,0,6,12
9,BRĂILA,"GRĂDINIȚA CU PROGRAM NORMAL WALDORF",45,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:35:22",1236,1223,4,8,1,550,541,0,8,1,523,27,1400,850,55,293,64,18,19,4,59,0,3,8
9,BRĂILA,"GRĂDINIŢA NR. 11 „BRÂNDUȘA”",33,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:23:02",1374,1365,2,7,0,506,499,0,7,0,476,20,1500,990,39,288,62,12,21,0,34,1,3,16
9,BRĂILA,"GRĂDINIŢA NR. 12 „SFÂNTUL NICOLAE”",10,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:20:03",1513,1504,2,7,0,618,611,0,7,0,602,16,1600,982,59,359,61,19,21,2,54,2,8,17
9,BRĂILA,"GRĂDINIŢA NR. 12 „SFÂNTUL NICOLAE”",9,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:33:46",1595,1586,1,8,0,629,621,0,8,0,610,19,1700,1071,54,352,83,15,42,5,42,3,4,10
9,BRĂILA,"GRĂDINIŢA NR. 21 „PESCĂRUȘUL”",74,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:15:58",1200,1194,0,6,0,439,433,0,6,0,424,15,1300,861,55,238,64,10,14,1,23,4,7,8
9,BRĂILA,"GRĂDINIŢA NR. 21 „PESCĂRUȘUL”",75,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:36:14",939,932,0,6,1,334,327,0,6,1,327,7,1050,716,42,182,46,4,16,3,22,1,5,6
9,BRĂILA,"GRĂDINIŢA NR. 21 „PESCĂRUȘUL”",76,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:41:21",1249,1243,0,6,0,442,436,0,6,0,428,14,1350,908,37,234,63,10,36,3,24,0,8,13
9,BRĂILA,"GRĂDINIŢA NR. 36 „FURNICUŢA”",92,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:27:12",1219,1211,1,7,0,504,497,0,7,0,492,12,1350,846,50,305,46,12,24,4,29,0,7,15
9,BRĂILA,"GRĂDINIŢA NR. 37 „DUMBRAVA MINUNATĂ”",95,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:53:11",1109,1059,0,7,43,450,400,0,7,43,427,23,1150,700,47,262,31,8,22,3,38,2,2,12
9,BRĂILA,"GRĂDINIŢA NR. 37 „DUMBRAVA MINUNATĂ”",97,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 18:17:46",1124,1112,0,12,0,486,474,0,12,0,462,16,1250,772,46,274,41,17,11,2,46,1,10,14
9,BRĂILA,"GRĂDINIŢA NR. 37 „DUMBRAVA MINUNATĂ”",96,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:49:37",1551,1542,1,8,0,601,593,0,8,0,578,23,1700,1099,53,302,71,16,37,7,58,2,13,19
9,BRĂILA,"GRĂDINIŢA NR. 38 „IZVORAȘUL”",29,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:36:21",1292,1265,20,7,0,553,546,0,7,0,535,18,1400,847,45,329,55,31,17,2,33,2,2,19
