precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TĂNASE ENACHE-PARTIDUL NAȚIONAL LIBERAL-voturi","IFTINOIU VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi"
10,BUZĂU,"ŞCOALA GIMNAZIALĂ GREBĂNU",250,GREBĂNU,47006,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:56:10",1838,1764,0,20,54,1096,1022,0,20,54,1056,40,2000,904,317,739
10,BUZĂU,"ŞCOALA GIMNAZIALĂ PLEVNA",253,GREBĂNU,47006,2,PART,PRCNCT,P,P_SV,"2024-06-12 15:39:03",1153,1064,0,34,55,855,766,0,34,55,838,17,1240,385,95,743
10,BUZĂU,"ŞCOALA PRIMARĂ HOMEŞTI",251,GREBĂNU,47006,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:22:51",856,814,0,28,14,523,481,0,28,14,501,22,910,387,148,353
10,BUZĂU,"ŞCOALA PRIMARĂ LIVADA",252,GREBĂNU,47006,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:55:59",630,565,0,41,24,435,370,0,41,24,423,12,620,185,133,290
