precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BRÎNCEANU CLAUDIU-ALIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NICOARĂ VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","BODEA LUCIAN-TIBERIU-PARTIDUL NAȚIONAL LIBERAL-voturi"
1,ALBA,"PRIMĂRIA COMUNEI CÎLNIC",218,CÂLNIC,4106,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:33:25",1231,1186,2,24,19,788,745,0,24,19,770,18,1220,432,20,64,686
1,ALBA,"ŞCOALA PRIMARĂ DEAL",219,CÂLNIC,4106,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:42:38",316,298,1,7,10,240,222,1,7,10,233,7,400,160,3,42,188
