precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BARBU POLEXIA-GEORGIANA-PARTIDUL NAȚIONAL LIBERAL-voturi","CHIRIŢĂ GEORGE-PARTIDUL SOCIAL DEMOCRAT-voturi"
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL SUHAIA",296,SUHAIA,154460,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:14:29",943,853,1,58,31,712,622,1,58,31,693,19,938,226,540,153
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ SUHAIA",295,SUHAIA,154460,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:46:36",824,770,0,30,24,627,573,0,30,24,607,20,845,218,414,193
