precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BEXA ALEXANDRU-PARTIDUL SOCIAL DEMOCRAT-voturi","VULTUR PETRU-PARTIDUL NAȚIONAL LIBERAL-voturi","BUTA CRINA-VASILICA-voturi"
28,MUREŞ,"CASA DE CULTURA LUNCA BRADULUI",442,"LUNCA BRADULUI",118058,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:04:56",1225,1155,0,38,32,773,703,0,38,32,752,21,1265,492,321,420,11
28,MUREŞ,"SCOALA PRIMARA SAT NEAGRA",443,"LUNCA BRADULUI",118058,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:26:25",354,330,1,10,13,218,194,1,10,13,212,6,381,163,82,128,2
