precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ ”MIHAI EMINESCU” COSTINEŞTI",416,COSTINEŞTI,63286,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:50:52",1013,979,7,18,9,678,644,7,18,9,662,15,1605,376,135,171,307,29,12,8
14,CONSTANŢA,"ŞCOALA PRIMARA” ION CREANGA” SCHITU",417,COSTINEŞTI,63286,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 22:21:49",1939,1889,6,29,15,1271,1227,0,29,15,1247,24,2001,730,287,488,363,37,21,51
