precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","FORȚA DREPTEI-voturi"
9,BRĂILA,"CĂMIN CULTURAL",197,GROPENI,43313,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 15:29:39",1407,1391,0,7,9,929,913,0,7,9,872,44,1600,684,26,532,273,24,17
9,BRĂILA,"ȘCOALA GIMNAZIALĂ GROPENI",198,GROPENI,43313,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:28:19",1274,1265,0,7,2,841,841,0,0,0,799,33,1343,511,21,416,314,16,32
