precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi"
37,TIMIŞ,"GRĂDINIȚA CU PROGRAM NORMAL IOHANISFELD",503,OTELEC,159525,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:37:00",886,874,1,6,5,402,391,0,6,5,384,18,965,563,51,6,22,275,26,3,1
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ OTELEC",502,OTELEC,159525,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:46:15",680,664,1,11,4,309,294,0,11,4,301,8,700,391,28,108,7,115,2,18,23
