precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
39,VASLUI,"DISPENSAR UMAN, SAT CHILIENI",247,COROIEŞTI,163057,1,PROV,PRCNCT,CL,CL_SV,"2024-06-09 23:56:19",186,177,0,9,0,77,68,0,9,0,75,1,200,124,0,69,2,4,0
39,VASLUI,"SCOALA GIMNAZIALA GEORGE C DRAGU SAT COROIESTI",246,COROIEŞTI,163057,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:28:53",646,645,0,1,0,192,191,0,1,0,191,1,625,433,2,72,70,21,26
39,VASLUI,"SCOALA GIMNAZIALA SAT MIRENI",249,COROIEŞTI,163057,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:01:04",343,339,0,4,0,124,120,0,4,0,117,7,400,276,8,78,6,14,11
39,VASLUI,"SCOALA PRIMARA SAT HREASCA",248,COROIEŞTI,163057,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 01:00:24",314,308,0,6,0,134,128,0,6,0,128,6,400,266,8,99,15,3,3
