precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ISPAS GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi","ŞERBAN IONUŢ-PARTIDUL NAȚIONAL LIBERAL-voturi","DRAGHIA GABRIEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
10,BUZĂU,"CĂMINUL CULTURAL BLĂJANI",159,BLĂJANI,45334,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:59:09",576,518,1,30,27,431,373,1,30,27,408,23,600,169,343,63,2
10,BUZĂU,"CĂMINUL CULTURAL SOREŞTI",160,BLĂJANI,45334,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:18:49",234,205,0,17,12,197,168,0,17,12,191,6,239,42,158,17,16
