precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"OTIMAN RĂZVAN NICOLAE-PARTIDUL NAȚIONAL LIBERAL-voturi","MOATA GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi"
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL VRANI",356,VRANI,54573,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:57:03",720,671,2,14,33,463,416,0,14,33,454,9,735,271,237,217
11,CARAŞ-SEVERIN,"SCOALA PRIMARA CIORTEA",357,VRANI,54573,3,PART,PRCNCT,P,P_SV,"2024-06-10 04:58:10",143,131,0,6,6,99,87,0,6,6,95,4,151,52,57,38
