precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LUPŞAN FLAVIU-PARTIDUL NAȚIONAL LIBERAL-voturi","TOMI DANIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","RUS ZAHARIE-IONUŢ-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL LUNCA ILVEI",168,"LUNCA ILVEI",33603,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:58:01",1499,1495,1,1,2,780,777,0,1,2,747,33,1622,842,559,42,146
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL LUNCA ILVEI",169,"LUNCA ILVEI",33603,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:00:03",1178,1170,3,0,5,659,654,0,0,5,643,16,1300,641,444,47,152
