precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi"
32,"SATU MARE","ȘCOALA GIMNAZIALĂ PIR",262,PIR,138538,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:58:48",1134,1118,0,6,10,753,737,0,6,10,650,103,1200,447,162,106,26,323,33
32,"SATU MARE","SCOALA PRIMARA",263,PIR,138538,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:28:39",114,98,0,6,10,69,53,0,6,10,64,5,143,74,13,40,3,8,0
