precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IONESCU MIHAIL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CÎRSTEA DANIEL-PARTIDUL SOCIAL DEMOCRAT-voturi"
10,BUZĂU,"ŞCOALA GIMNAZIALĂ CIUTA",267,MĂGURA,47337,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:49:26",679,663,0,5,11,490,474,0,5,11,471,19,681,191,59,412
10,BUZĂU,"ȘCOALA GIMNAZIALĂ MĂGURA",266,MĂGURA,47337,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:08:03",1045,996,0,4,45,749,700,0,4,45,726,23,1200,451,46,680
