precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SZÉKELY ERNŐ-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
21,HARGHITA,"ŞCOALA GIMNAZIALĂ SÂNCRĂIENI",236,SÂNCRĂIENI,85680,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:29:32",1161,1134,2,4,21,617,592,0,4,21,568,49,1300,683,568
21,HARGHITA,"ŞCOALA GIMNAZIALĂ SÂNCRĂIENI",237,SÂNCRĂIENI,85680,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:03:38",991,976,3,0,12,540,528,0,0,12,490,50,1040,500,490
