precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
30,OLT,"LICEUL TEHNOLOGIC ION POPESCU CILIENI",154,CILIENI,126148,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:41:50",1288,1262,0,0,26,741,715,0,0,26,722,19,1469,728,155,473,79,15
30,OLT,"LICEUL TEHNOLOGIC ION POPESCU CILIENI",153,CILIENI,126148,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:45:52",1252,1240,0,1,11,688,677,0,1,10,662,26,1419,731,121,423,103,15
