precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MEDEŞAN FLORIN-GHEORGHE-UNIUNEA SALVAȚI ROMÂNIA-voturi","PUŞCAŞ GAVRIL-PARTIDUL SOCIAL DEMOCRAT-voturi","MOISI NICOLAE-PARTIDUL NAȚIONAL LIBERAL-voturi","BUBOI GHEORGHE-DAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
33,SĂLAJ,"CAMIN CULTURAL ALEUS",168,HALMĂŞD,141312,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:06:16",230,214,0,9,7,163,147,0,9,7,158,5,250,87,3,86,67,2
33,SĂLAJ,"CAMIN CULTURAL HALMASD",167,HALMĂŞD,141312,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:43:43",832,807,1,4,20,541,517,0,4,20,528,13,890,349,19,253,252,4
33,SĂLAJ,"ȘCOALA NOUĂ DRIGHIU",170,HALMĂŞD,141312,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:45:55",301,286,0,9,6,190,175,0,9,6,189,1,330,140,2,111,63,13
33,SĂLAJ,"ȘCOALA VECHE",169,HALMĂŞD,141312,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:57:51",434,423,1,4,6,281,270,1,4,6,267,14,488,207,3,139,107,18
