precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
15,COVASNA,"CĂMINUL CULTURAL ILIENI",153,ILIENI,64425,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 12:36:36",905,876,4,4,21,647,623,0,4,20,607,40,929,282,253,11,6,337
15,COVASNA,"GRĂDINIŢA CU PROGRAM NORMAL SÂNCRAIU",155,ILIENI,64425,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:23:32",470,453,5,2,10,325,312,1,2,10,307,18,500,175,87,14,17,189
15,COVASNA,"ŞCOALA PRIMARĂ ”BODA-POPOVICI” DOBOLII DE JOS",154,ILIENI,64425,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:33:10",436,412,3,4,17,286,265,0,4,17,271,15,491,205,81,82,11,97
