precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA ELECTORALĂ PSD PNL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
37,TIMIŞ,"CĂMINUL CULTURAL CĂRPINIŞ",347,CĂRPINIŞ,156213,2,PART,PRCNCT,CL,CL_SV,"2024-06-17 12:53:44",1765,1756,3,0,6,699,693,0,0,6,674,19,2000,1301,484,69,121
37,TIMIŞ,"CĂMINUL CULTURAL IECEA MICĂ",348,CĂRPINIŞ,156213,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:00:45",1019,1006,2,11,0,360,349,0,11,0,339,21,1018,658,264,39,36
37,TIMIŞ,"PRIMĂRIA COMUNEI CĂRPINIŞ",346,CĂRPINIŞ,156213,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:39:17",1781,1765,3,8,5,673,660,0,8,5,647,26,2000,1327,455,80,112
