precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL NAȚIONAL DE CENTRU-voturi","PARTIDUL OAMENILOR LIBERI-voturi","PARTIDUL CÂMPINA CURATĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","ANGHELESCU MARIUS-voturi"
31,PRAHOVA,"CASA DE CULTURĂ ”GEO BOGZA”- (HOL)",158,"MUNICIPIUL CÂMPINA",131256,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:35:03",1277,1261,1,12,3,640,627,0,10,3,614,26,1400,760,161,38,173,12,28,5,30,102,47,3,15
31,PRAHOVA,"CASA TINERETULUI (HOL MARE)",161,"MUNICIPIUL CÂMPINA",131256,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:45:15",961,954,0,7,0,392,385,0,7,0,380,12,1100,708,96,43,97,4,19,2,16,78,18,2,5
31,PRAHOVA,"CASA TINERETULUI (HOL MIC)",167,"MUNICIPIUL CÂMPINA",131256,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 18:38:41",1372,1361,4,7,0,639,632,0,7,0,623,16,1500,861,131,45,202,11,22,4,19,117,46,5,21
31,PRAHOVA,"COLEGIUL NAŢIONAL”NICOLAE GRIGORESCU” - (SALA DE CLASA)",160,"MUNICIPIUL CÂMPINA",131256,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 18:03:16",1178,1167,1,9,1,588,578,0,9,1,574,14,1300,712,124,41,172,6,12,1,31,115,58,1,13
31,PRAHOVA,"COLEGIUL NAŢIONAL”NICOLAE GRIGORESCU” - (SALA DE CLASA)",159,"MUNICIPIUL CÂMPINA",131256,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:20:18",1067,1058,3,5,1,534,528,0,5,1,509,25,1200,666,104,39,198,6,10,1,18,68,38,4,23
31,PRAHOVA,"COLEGIUL TEHNIC CONSTANTIN ISTRATI (CAMIN)",170,"MUNICIPIUL CÂMPINA",131256,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:45:00",1559,1546,5,8,0,765,757,0,8,0,746,19,1700,935,161,36,251,12,34,0,49,136,56,1,10
31,PRAHOVA,"COLEGIUL TEHNIC CONSTANTIN ISTRATI - SALA DE CLASA)",171,"MUNICIPIUL CÂMPINA",131256,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:27:08",1505,1493,5,5,2,721,715,0,5,1,706,15,1700,979,157,57,198,15,26,0,51,116,66,7,13
31,PRAHOVA,"COLEGIUL TEHNIC FORESTIER - (SALA DE SPORT)",168,"MUNICIPIUL CÂMPINA",131256,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:32:54",1108,1101,1,6,0,596,590,0,6,0,554,36,1200,604,124,35,195,10,18,0,20,89,47,4,12
31,PRAHOVA,"COLEGIUL TEHNIC FORESTIER - (SALA DE SPORT)",169,"MUNICIPIUL CÂMPINA",131256,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:57:16",1200,1184,0,14,2,598,582,0,14,2,578,20,1300,702,115,47,188,20,10,0,21,105,60,2,10
31,PRAHOVA,"GRADINITA CU PROGRAM NORMAL NR.3(SALA DE CLASA SI DE JOC)",179,"MUNICIPIUL CÂMPINA",131256,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 17:44:47",1603,1593,3,7,0,673,665,1,7,0,643,30,1800,1127,207,45,173,13,24,1,35,85,43,6,11
