precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-voturi"
32,"SATU MARE","CĂMINUL CULTURAL VEZENDIU",313,TIREAM,139107,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:40:44",364,352,0,11,1,184,172,0,11,1,171,13,400,216,24,80,49,13,5
32,"SATU MARE","GRADINITA CU PROGRAM NORMAL",312,TIREAM,139107,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:40:47",162,155,0,6,1,86,79,0,6,1,84,2,196,110,7,43,23,7,4
32,"SATU MARE","PRIMARIA COMUNEI TIREAM",311,TIREAM,139107,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:28:32",1427,1399,2,4,22,746,720,0,4,22,705,41,1498,752,61,432,40,104,68
