precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL VERDE-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
20,GORJ,"CĂMINUL CULTURAL FRĂTEȘTI",237,LELEŞTI,80677,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 10:14:16",329,290,0,39,0,256,217,0,39,0,250,6,300,44,4,26,2,13,9,196
20,GORJ,"ȘCOALA GENERALA ”ION GRIGOROIU” LELEȘTI",236,LELEŞTI,80677,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 10:01:21",1021,951,1,56,13,783,714,0,56,13,757,26,1100,317,38,140,122,99,40,318
20,GORJ,"ȘCOALA PRIMARĂ RASOVIȚA",238,LELEŞTI,80677,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:49:31",185,168,0,15,2,134,117,0,15,2,127,7,224,90,2,55,4,3,2,61
