precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","CONSTANTIN VICTORIA-voturi"
10,BUZĂU,"CĂMINUL CULTURAL",134,AMARU,44863,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:07:30",193,184,0,7,2,132,123,0,7,2,125,7,208,76,70,8,42,3,2
10,BUZĂU,"CĂMINUL CULTURAL",133,AMARU,44863,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:06:33",408,393,0,7,8,252,237,0,7,8,244,8,428,176,153,12,74,5,0
10,BUZĂU,"CAMINUL CULTURAL LUNCA",135,AMARU,44863,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:59:58",285,274,0,9,2,156,145,0,9,2,152,4,300,144,117,7,24,2,2
10,BUZĂU,"CASA DE CULTURĂ AMARU",132,AMARU,44863,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:57:07",903,886,1,2,14,553,537,0,2,14,521,32,967,414,343,42,84,36,16
