precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BURTEA MARIAN-ION-PARTIDUL SOCIAL DEMOCRAT-voturi","BĂDILĂ RĂZVAN-MIHAIL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","SĂVULESCU DARIUS-MIHAI-PARTIDUL NAȚIONAL LIBERAL-voturi","PINŢĂ MĂDĂLIN-CONSTANTIN-PARTIDUL MIȘCAREA POPULARĂ-voturi"
31,PRAHOVA,"CĂMIN CULTURAL",285,ADUNAŢI,131899,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:11:14",817,802,0,5,10,575,560,0,5,10,556,19,920,345,81,17,433,25
31,PRAHOVA,"GRĂDINIȚA „CASTELUL PITICILOR”",286,ADUNAŢI,131899,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:19:49",767,749,0,6,12,557,539,0,6,12,544,13,800,243,79,10,449,6
