precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"OVESEA OVIDIU-ALEXANDRU-PARTIDUL NAȚIONAL LIBERAL-voturi","STOICA OVIDIU-MARIUS-PARTIDUL SOCIAL DEMOCRAT-voturi"
8,BRAŞOV,"CAMIN CULTURAL GRID",392,PĂRĂU,41578,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:31:09",234,220,1,11,2,158,144,1,11,2,150,8,229,71,94,56
8,BRAŞOV,"CAMIN CULTURAL VENETIA DE JOS",393,PĂRĂU,41578,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:44:44",588,556,0,23,9,374,342,0,23,9,346,28,600,226,196,150
8,BRAŞOV,"CĂMINUL CULTURAL PĂRĂU",391,PĂRĂU,41578,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:15:17",524,478,1,29,16,314,269,0,29,16,300,14,600,286,230,70
8,BRAŞOV,"CĂMINUL CULTURAL VENEȚIA DE SUS",394,PĂRĂU,41578,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:08:22",408,371,0,27,10,290,253,0,27,10,275,15,400,110,154,121
