precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IVAN MARIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ROŞIANU VICTOR-DANIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","CÎRSTEA FLOREA-PARTIDUL SOCIAL DEMOCRAT-voturi","NECIU CONSTANTIN-COSTEL-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","BĂRBUICĂ SORINEL-VASILICĂ-PARTIDUL S.O.S. ROMÂNIA-voturi"
30,OLT,"ŞCOALA CU CLASELE I-IV BREBENI",143,BREBENI,125999,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:43:08",949,917,0,23,9,587,555,0,23,9,564,23,1104,517,169,112,243,7,33
30,OLT,"ŞCOALA GIMNAZIALĂ BREBENI",144,BREBENI,125999,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:44:12",1352,1285,0,47,20,963,896,0,47,20,951,12,1391,428,342,205,355,31,18
