precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PETRACHE CRISTINEL-PARTIDUL NAȚIONAL LIBERAL-voturi","CAZAMIR MIHAI-PARTIDUL SOCIAL DEMOCRAT-voturi","ICHIM RĂZVAN-IONUŢ-UNIUNEA SALVAȚI ROMÂNIA-voturi","BENCHEA LUCIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ BOGHICEA",192,BOGHICEA,125178,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:23:05",1041,1022,1,4,14,560,542,0,4,14,544,16,1100,540,114,356,31,43
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ SLOBOZIA",195,BOGHICEA,125178,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:04:32",602,590,0,3,9,347,335,0,3,9,334,13,700,353,57,269,1,7
29,NEAMŢ,"ȘCOALA PRIMARĂ CĂUȘENI",193,BOGHICEA,125178,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:51:36",146,137,0,5,4,84,75,0,5,4,81,3,200,116,26,47,3,5
29,NEAMŢ,"ȘCOALA PRIMARĂ NISTRIA",194,BOGHICEA,125178,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:09:48",229,225,0,4,0,127,123,0,4,0,126,1,300,173,65,55,4,2
