precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POPA VASILE-UNIUNEA SALVAȚI ROMÂNIA-voturi","DUMITRU MARIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","LUPĂ VIOREL-PARTIDUL SOCIAL DEMOCRAT-voturi","STAN GEORGICĂ-PARTIDUL NAȚIONAL LIBERAL-voturi"
23,IALOMIŢA,"SCOALA CU CLASELE I-VIII GARBOVI",148,GÂRBOVI,103283,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:49:29",1067,1026,0,34,7,643,602,0,34,7,626,17,1134,491,382,26,151,67
23,IALOMIŢA,"ŞCOALA CU CLASELE I-VIII GÂRBOVI,",147,GÂRBOVI,103283,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:41:14",957,923,0,24,10,578,544,0,24,10,569,9,1025,447,339,22,142,66
23,IALOMIŢA,"ŞCOALA CU CLASELE I-VIII GÂRBOVI,",146,GÂRBOVI,103283,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:02:45",962,928,3,26,5,549,518,0,26,5,538,11,1025,476,331,29,118,60
