precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNGUR MIHAI-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BREAZ AUREL-PARTIDUL NAȚIONAL LIBERAL-voturi","HĂLĂLAI MIREL-VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","SANDU BOGDAN-GABRIEL-FORȚA DREPTEI-voturi"
1,ALBA,"CĂMIN CULTURAL CĂPUD",171,"ORAŞ TEIUŞ",8096,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:38:03",262,254,0,7,1,156,148,0,7,1,149,7,284,128,23,23,101,2
1,ALBA,"CASA DE CULTURĂ TEIUŞ",166,"ORAŞ TEIUŞ",8096,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:14:39",1526,1511,1,8,6,817,803,0,8,6,810,7,1687,870,157,215,420,18
1,ALBA,"GARA CFR TEIUŞ",169,"ORAŞ TEIUŞ",8096,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:32:32",1001,987,2,7,5,550,538,0,7,5,537,13,1110,560,85,196,245,11
1,ALBA,"LICEUL TEORETIC TEIUŞ",168,"ORAŞ TEIUŞ",8096,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:58:35",1395,1380,2,6,7,807,794,0,6,7,792,15,1543,736,174,216,389,13
1,ALBA,"ŞCOALA GIMNAZIALĂ TEIUŞ",167,"ORAŞ TEIUŞ",8096,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:39:44",1294,1281,1,10,2,630,618,0,10,2,620,10,1687,804,117,186,301,16
1,ALBA,"ŞCOALA PRIMARĂ BELDIU",170,"ORAŞ TEIUŞ",8096,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:42:19",206,198,0,8,0,127,119,0,8,0,121,6,228,101,19,27,74,1
1,ALBA,"ŞCOALA PRIMARĂ PEŢELCA",172,"ORAŞ TEIUŞ",8096,1,PROV,PRCNCT,P,P_SV,"2024-06-10 00:54:04",103,94,0,8,1,65,56,0,8,1,64,1,108,43,4,14,45,1
