precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL OAMENILOR CREDINCIOȘI-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
17,DOLJ,"CĂMINUL CULTURAL",276,BULZEŞTI,71340,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:58:52",579,553,0,4,22,374,348,0,4,22,356,18,639,265,29,223,69,6,29
17,DOLJ,"PUNCT INFORMARE, PRIMĂRIA BULZEŞTI",277,BULZEŞTI,71340,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 18:30:23",498,469,0,6,23,313,284,0,6,23,287,26,500,187,12,217,44,1,13
