precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŞERBAN SILVIU-PARTIDUL SOCIAL DEMOCRAT-voturi","VASILACHE FLORIN-JAN-PARTIDUL NAȚIONAL LIBERAL-voturi","NĂSTASE CONSTANTIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ILINOIU COSTICĂ-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
41,VRANCEA,"CĂMINUL CULTURAL ”DIMITRIE CANTEMIR”",210,MERA,176686,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:18:36",1064,1034,1,6,23,683,653,1,6,23,647,36,959,276,257,368,15,7
41,VRANCEA,"ȘCOALA GIMNAZIALĂ NR.1- CORP A",212,MERA,176686,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:47:52",1576,1529,1,7,39,931,885,0,7,39,907,24,1726,795,351,509,22,25
41,VRANCEA,"ȘOALA GIMNAZIALĂ PETRE MIRONESCU -MERA",211,MERA,176686,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:43:59",537,511,0,14,12,343,317,0,14,12,332,11,774,431,210,113,2,7
