precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi"
31,PRAHOVA,"SCOALA GIMNAZIALA CLASELE I-VIII ALBESTI PALEOLOGU",287,ALBEŞTI-PALEOLOGU,131933,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:21:58",1453,1448,0,3,2,755,750,0,3,2,710,45,1600,845,154,369,72,37,55,23
31,PRAHOVA,"SCOALA GIMNAZIALA CLASELE I-VIII SAT VADU PĂRULUI",290,ALBEŞTI-PALEOLOGU,131933,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:24:17",1488,1474,2,7,5,714,701,1,7,5,689,25,1595,881,55,407,55,35,129,8
31,PRAHOVA,"SCOALA GIMNAZIALA CU CLASELE I-IV SAT ALBESTI MURU",288,ALBEŞTI-PALEOLOGU,131933,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:38:52",835,822,2,6,5,399,388,0,6,5,393,5,932,534,49,221,42,16,57,8
31,PRAHOVA,"SCOALA GIMNAZIALA CU CLASELE I-VIII CIOCENI",289,ALBEŞTI-PALEOLOGU,131933,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:40:11",729,721,0,8,0,391,383,0,8,0,384,7,800,409,142,169,41,15,12,5
