precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
2,ARAD,"CLĂDIREA PRIMĂRIEI DIN SATUL PEREGU MIC",327,"PEREGU MARE",11637,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:38:45",782,757,1,5,19,489,465,0,5,19,475,14,833,344,122,335,10,4,4
2,ARAD,"PRIMĂRIA COMUNEI PEREGU MARE",326,"PEREGU MARE",11637,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:12:03",735,721,1,4,9,382,368,1,4,9,368,14,810,428,108,86,37,112,25
