precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CONSTANTIN ŞTEFAN-PARTIDUL SOCIAL DEMOCRAT-voturi","MIRON VIOREL-PARTIDUL NAȚIONAL LIBERAL-voturi","DRUMEA CIPRIAN-LAURENŢIU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ILIE LUCICA-PARTIDUL S.O.S. ROMÂNIA-voturi"
4,BACĂU,"BIBLIOTECA ORAŞULUI COMĂNEȘTI",195,"ORAŞ COMĂNEŞTI",20821,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:17:56",1339,1331,1,7,0,589,582,0,7,0,572,17,1500,911,198,325,33,16
4,BACĂU,"CENTRUL 5",191,"ORAŞ COMĂNEŞTI",20821,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:18:07",1097,1083,5,6,3,505,496,0,6,3,488,17,1200,695,176,238,54,20
4,BACĂU,"CLĂDIRE ŞIPOTENI (FOSTĂ ȘCOALĂ ȘIPOTENI)",207,"ORAŞ COMĂNEŞTI",20821,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:58:38",636,625,5,5,1,283,277,0,5,1,279,4,700,417,123,107,35,14
4,BACĂU,"PRIMĂRIA ORAȘULUI COMĂNEȘTI",199,"ORAŞ COMĂNEŞTI",20821,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:41:00",1348,1338,2,8,0,550,542,0,8,0,534,16,1500,950,135,337,45,17
4,BACĂU,"SCOALA CIPRIAN PORUMBESCU",194,"ORAŞ COMĂNEŞTI",20821,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:53:12",497,491,0,5,1,213,207,0,5,1,206,7,500,287,28,125,29,24
4,BACĂU,"ŞCOALA CIPRIAN PORUMBESCU",192,"ORAŞ COMĂNEŞTI",20821,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:57:48",1199,1193,2,4,0,532,528,0,4,0,517,15,1300,768,173,276,49,19
4,BACĂU,"ȘCOALA CIPRIAN PORUMBESCU",193,"ORAŞ COMĂNEŞTI",20821,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:32:42",1214,1171,2,6,35,527,486,0,6,35,521,6,1300,773,135,278,81,27
4,BACĂU,"ŞCOALA COSTACHI S.CIOCAN LĂLOAIA",203,"ORAŞ COMĂNEŞTI",20821,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:55:31",694,690,1,2,1,301,298,0,2,1,297,4,800,499,94,165,24,14
4,BACĂU,"ŞCOALA DIMITRIE GHICA ZĂVOI",205,"ORAŞ COMĂNEŞTI",20821,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:37:34",1242,1226,3,10,3,479,466,0,10,3,464,15,1300,821,165,219,45,35
4,BACĂU,"ŞCOALA LĂLOAIA",201,"ORAŞ COMĂNEŞTI",20821,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:49:54",1153,1153,0,0,0,547,547,0,0,0,529,18,1300,753,191,252,58,28
4,BACĂU,"SCOALA LIVIU REBREANU",196,"ORAŞ COMĂNEŞTI",20821,1,PART,PRCNCT,P,P_SV,"2024-06-10 17:27:23",1538,1531,1,6,0,610,604,0,6,0,595,15,1700,1090,186,340,51,18
4,BACĂU,"ŞCOALA LIVIU REBREANU",197,"ORAŞ COMĂNEŞTI",20821,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:10:04",1007,998,1,8,0,428,420,0,8,0,415,13,1100,672,136,237,30,12
4,BACĂU,"ŞCOALA LIVIU REBREANU",198,"ORAŞ COMĂNEŞTI",20821,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:43:36",586,582,0,4,0,229,225,0,4,0,220,9,700,471,65,126,15,14
4,BACĂU,"ŞCOALA NR.3 LEORDA",204,"ORAŞ COMĂNEŞTI",20821,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:48:20",1294,1292,1,1,0,627,626,0,1,0,611,16,1400,773,200,320,59,32
4,BACĂU,"ŞCOALA NR.5 BIS SUBLĂLOAIA",202,"ORAŞ COMĂNEŞTI",20821,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:41:05",1453,1439,3,10,1,654,643,0,10,1,614,40,1600,946,176,322,68,48
4,BACĂU,"ŞCOALA ŞUPAN",200,"ORAŞ COMĂNEŞTI",20821,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:25:57",1430,1423,0,6,1,620,613,0,6,1,588,32,1600,980,138,357,54,39
4,BACĂU,"ŞCOALA VERMEŞTI",206,"ORAŞ COMĂNEŞTI",20821,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:12:49",1043,1037,0,6,0,416,410,0,6,0,399,17,1100,684,109,209,51,30
