precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ORMENIŞAN PETRU-PARTIDUL NAȚIONAL LIBERAL-voturi","CÎMPEAN OVIDIU-ANDREI-PARTIDUL SOCIAL DEMOCRAT-voturi"
28,MUREŞ,"CAMIN CULTURAL",320,COZMA,116224,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:16:26",115,86,0,5,24,86,57,0,5,24,82,4,101,15,65,17
28,MUREŞ,"PRIMARIA COZMA",319,COZMA,116224,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:57:08",310,302,0,1,7,218,210,0,1,7,202,16,324,106,104,98
