precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
31,PRAHOVA,"GRADINITA VITIOARA DE SUS",521,PREDEAL-SĂRARI,134755,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:39:37",976,966,0,3,7,601,591,0,3,7,556,38,1000,399,424,92,17,12,11
31,PRAHOVA,"ȘCOALA ELEMENTARĂ ZÎMBROAIA",522,PREDEAL-SĂRARI,134755,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:26:34",123,113,0,4,6,87,77,0,4,6,84,3,158,71,52,24,2,2,4
31,PRAHOVA,"ȘCOALA GIMNAZIALĂ ”MĂNĂSTIREANU MIHAI” PREDEAL",520,PREDEAL-SĂRARI,134755,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:52:46",705,699,0,0,6,435,429,0,0,6,413,22,800,365,217,122,30,25,19
