precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MĂRU COSTEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTENIE EDUARD-PARTIDUL NAȚIONAL LIBERAL-voturi","STAMATE LILIANA-PARTIDUL SOCIAL DEMOCRAT-voturi","MOCANU MELANIA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
41,VRANCEA,"CONSILIUL LOCAL TĂNĂSOAIA",296,TĂNĂSOAIA,177879,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:16:49",689,653,0,10,26,445,409,0,10,26,434,11,768,323,82,46,123,183
41,VRANCEA,"ȘCOALA GIMNAZIALĂ FELDIOARA",298,TĂNĂSOAIA,177879,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:43:47",546,522,0,14,10,304,280,0,14,10,294,10,587,283,132,21,94,47
41,VRANCEA,"ȘCOALA PRIMARĂ COSTIȘA",297,TĂNĂSOAIA,177879,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:15:55",186,154,0,13,19,142,111,0,13,18,138,4,193,51,7,2,22,107
41,VRANCEA,"ȘCOALA PRIMARĂ VLADNICU DE SUS",299,TĂNĂSOAIA,177879,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:21:37",201,170,0,12,19,129,100,0,12,17,127,2,208,79,64,4,35,24
