precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BUDA IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi","BUDA CRISTINA-PARTIDUL NAȚIONAL LIBERAL-voturi"
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM NORMAL ,3 GRUPE",333,LĂPUŞ,108222,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:44:37",1517,1465,4,7,41,941,891,2,7,41,930,11,1700,759,73,857
26,MARAMUREŞ,PRIMĂRIA,332,LĂPUŞ,108222,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:04:14",1379,1351,1,7,20,847,820,0,7,20,827,20,1500,653,87,740
