precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
4,BACĂU,"SCOALA NR.1 CLEJA",305,CLEJA,21855,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:01:35",1461,1453,2,3,3,592,584,2,3,3,562,30,1600,1008,131,143,59,30,111,57,31
4,BACĂU,"ŞCOALA NR.1 CLEJA",304,CLEJA,21855,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:47:43",855,848,3,3,1,324,319,1,3,1,292,32,900,576,62,70,13,23,62,47,15
4,BACĂU,"ŞCOALA NR.2 CLEJA",306,CLEJA,21855,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:22:28",1495,1490,1,2,2,624,620,0,2,2,605,19,1600,976,177,87,49,48,120,60,64
4,BACĂU,"ŞCOALA SOMUŞCA",307,CLEJA,21855,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:50:04",1178,1170,3,5,0,498,490,3,5,0,439,59,1300,800,130,48,69,40,61,52,39
4,BACĂU,"ŞCOALA VALEA MICĂ",308,CLEJA,21855,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:11:19",572,570,0,2,0,243,241,0,2,0,227,16,608,365,50,50,42,9,17,5,54
