precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
3,ARGEŞ,"PRIMĂRIA TIGVENI",491,TIGVENI,19249,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:10:23",1538,1530,0,7,1,953,945,0,7,1,869,84,1600,647,316,53,438,43,19
3,ARGEŞ,"ȘCOALA CU CLASELE I-IV BÎRSEȘTII DE JOS",492,TIGVENI,19249,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:16:45",957,955,0,2,0,570,568,0,2,0,548,22,1100,530,261,39,190,36,22
3,ARGEŞ,"ŞCOALA CU CLASELE I-IV VLĂDEŞTI",493,TIGVENI,19249,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:38:31",191,187,0,4,0,115,111,0,4,0,109,6,230,115,67,5,26,8,3
