precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
35,SUCEAVA,"SCOALA GIMNAZIALA CU CLASELE I-VIII COMANESTI",260,COMĂNEŞTI,151433,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:39:07",968,954,0,6,8,528,514,0,6,8,508,20,1086,558,312,69,70,29,28
35,SUCEAVA,"SCOALA GIMNAZIALA CU CLASELE I-VIII HUMORENI",261,COMĂNEŞTI,151433,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:30:43",944,933,0,7,4,458,447,0,7,4,434,24,1000,542,354,40,20,17,3
