precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ARĂMESCU ADRIAN-voturi","MUNTEANU TEODORA-voturi"
35,SUCEAVA,"AGENTIA PENTRU PROTECTIA MEDIULUI",34,"MUNICIPIUL SUCEAVA",146263,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 21:27:53",1893,1883,1,9,0,930,921,0,9,0,895,35,2100,1170,359,111,182,12,26,14,141,26,24
35,SUCEAVA,"ATELIER ZONĂ CFR",43,"MUNICIPIUL SUCEAVA",146263,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:49:44",1549,1537,0,12,0,432,420,0,12,0,419,13,1700,1268,130,69,111,8,23,3,58,6,11
35,SUCEAVA,"CENTRUL CULTURAL BUCOVINA",6,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:36:43",1548,1537,1,10,0,638,628,0,10,0,620,17,1700,1062,263,52,129,19,17,11,95,13,21
35,SUCEAVA,"CENTRUL PENTRU SUSŢINEREA TRADIŢIILOR BUCOVINENE",14,"MUNICIPIUL SUCEAVA",146263,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:04:56",1311,1304,1,6,0,539,533,0,6,0,520,19,1400,861,198,56,122,7,25,11,78,5,18
35,SUCEAVA,"CENTRUL ŞCOLAR PENTRU EDUCAŢIE INCLUZIVĂ SUCEAVA, CORP A",52,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:27:01",1804,1797,0,7,0,707,700,0,7,0,680,27,2000,1293,224,83,197,8,29,7,84,35,13
35,SUCEAVA,"CENTRUL ŞCOLAR PENTRU EDUCAŢIE INCLUZIVĂ SUCEAVA- CORP B",53,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:38:35",1660,1654,0,6,0,611,605,0,6,0,598,13,1800,1189,234,63,172,8,27,5,58,19,12
35,SUCEAVA,"COLEGIUL DE ARTĂ „CIPRIAN PORUMBESCU” SALA A",9,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:49:39",1237,1228,1,8,0,310,302,0,8,0,300,10,1400,1090,112,26,79,9,11,2,48,6,7
35,SUCEAVA,"COLEGIUL DE ARTĂ „CIPRIAN PORUMBESCU” SALA B",10,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:23:53",1226,1219,0,7,0,534,527,0,7,0,507,27,1300,766,196,47,138,8,13,3,77,9,16
35,SUCEAVA,"COLEGIUL ECONOMIC ” DIMITRIE CANTEMIR”",13,"MUNICIPIUL SUCEAVA",146263,3,PART,PRCNCT,CL,CL_SV,"2024-06-12 14:03:53",1063,1051,3,7,2,497,488,0,7,2,481,14,1200,703,212,34,85,18,14,8,76,17,17
35,SUCEAVA,"COLEGIUL NAŢIONAL DE INFORMATICĂ ”SPIRU HARET”, SALA A",17,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:34:58",1071,1044,0,6,21,489,462,0,6,21,472,16,1400,911,169,62,99,5,15,29,79,8,6
