precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MARIAŞ FLORENTIN-VICTOR-PARTIDUL SOCIAL DEMOCRAT-voturi","MARŞAVELA IRIMIA-PARTIDUL NAȚIONAL LIBERAL-voturi","ŰSZŐGES LÁSZLÓ-JÓZSEF-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","OLARU DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CONSTANDIN IOAN-ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ZOLTAN ANDREI-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
8,BRAŞOV,"GRĂDINIȚA BUDILA",313,BUDILA,40688,3,PART,PRCNCT,P,P_SV,"2024-06-10 10:30:46",1257,1249,1,3,4,976,969,0,3,4,894,82,1400,424,155,500,15,10,129,85
8,BRAŞOV,"PRIMĂRIA COMUNEI BUDILA",315,BUDILA,40688,1,PART,PRCNCT,P,P_SV,"2024-06-10 15:53:46",1022,1002,0,15,5,720,700,0,15,5,622,98,1108,308,99,279,62,9,99,74
8,BRAŞOV,"ȘCOALA GIMNAZIALĂ BUDILA",314,BUDILA,40688,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:15:28",1131,1113,2,5,11,649,632,1,5,11,621,28,1200,551,121,62,220,29,11,178
