precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"RĂDĂCINĂ DOREL-NICU-RAREŞ-PARTIDUL SOCIAL DEMOCRAT-voturi","TĂTARU SEBASTIAN-GHEORGHE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FEROIU IOAN-COSMIN-PARTIDUL NAȚIONAL LIBERAL-voturi","JIGĂREA GHEORGHE-IOAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","HERMENEANU GHEORGHE-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
8,BRAŞOV,"CĂMINUL CULTURAL POARTA",309,BRAN,40633,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:43:42",880,868,3,8,1,545,536,0,8,1,528,17,1000,455,207,4,285,9,23
8,BRAŞOV,"CĂMINUL CULTURAL ŞIMON",312,BRAN,40633,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:06:32",1039,1026,0,12,1,661,648,0,12,1,656,5,1132,471,107,10,415,53,71
8,BRAŞOV,"CĂMINUL CULTURAL SOHODOL",311,BRAN,40633,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:39:42",928,917,4,5,2,547,539,1,5,2,527,17,1000,456,108,2,310,24,83
8,BRAŞOV,"PRIMĂRIA COMUNEI BRAN",308,BRAN,40633,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:29:33",763,749,2,10,2,517,505,0,10,2,501,16,800,283,115,7,351,16,12
8,BRAŞOV,"ŞCOALA GENERALĂ PREDELUŢ",310,BRAN,40633,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:45:02",906,894,4,6,2,594,586,0,6,2,577,17,1005,411,156,8,389,16,8
