precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi"
18,GALAŢI,"”ȘCOALA GIMNAZIALĂ NR. 1 BĂLENI”",232,BĂLENI,75668,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:08:22",997,944,0,3,50,436,383,0,3,50,425,11,1038,602,304,110,11
18,GALAŢI,"”ȘCOALA GIMNAZIALĂ NR. 1 BĂLENI”",231,BĂLENI,75668,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:05:29",912,875,0,2,35,419,382,0,2,35,404,15,999,580,286,108,10
