precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DIMULESCU ION-DANIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","COJOCARU DANIEL-PARTIDUL NAȚIONAL LIBERAL-voturi"
40,VÂLCEA,"ŞCOALA CU CLASELE I-IV BĂLŞOARA",291,MĂDULARI,171209,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:23:50",233,203,0,19,11,167,137,0,19,11,159,8,220,53,125,34
40,VÂLCEA,"ȘCOALA CU CLASELE. I-IV BĂNȚEȘTI",292,MĂDULARI,171209,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:23:57",258,237,0,11,10,169,148,0,11,10,164,5,260,91,149,15
40,VÂLCEA,"ȘCOALA CU CLASELE . I-VIII MĂDULARI",290,MĂDULARI,171209,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:41:09",625,559,1,29,36,438,374,0,29,35,419,19,626,188,353,66
