precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
6,BISTRIŢA-NĂSĂUD,"ȘCOALA GIMNAZIALĂ REBRA CLASELE I-IV",223,REBRA,34262,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 13:39:00",1042,1020,1,8,13,646,625,0,8,13,620,25,1150,505,94,227,140,126,33
6,BISTRIŢA-NĂSĂUD,"ȘCOALA GIMNAZIALĂ REBRA CLASELE I-IV",224,REBRA,34262,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:37:53",1115,1079,2,17,17,645,611,0,17,17,624,21,1150,505,76,227,132,179,10
