precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi"
31,PRAHOVA,"GRĂDINIŢA CU PROGRAM NORMAL",389,CORNU,132805,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:49:22",821,799,1,0,21,535,514,0,0,21,519,16,905,370,70,17,389,34,9
31,PRAHOVA,"GRĂDINIŢA CU PROGRAM NORMAL",387,CORNU,132805,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:39:44",1339,1302,6,3,28,702,671,0,3,28,673,29,1505,803,42,44,479,63,45
31,PRAHOVA,"ŞCOALA GIMNAZIALĂ ”PROFESOR CRISTEA STĂNESCU”",388,CORNU,132805,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:44:49",1431,1405,0,17,9,849,823,0,17,9,830,19,1506,657,63,37,616,36,78
