precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","FORȚA DREPTEI-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL CONSERVATOR DEMOCRAT-voturi","PINTILIE DĂNUŢ-voturi"
18,GALAŢI,"COLEGIUL NAŢIONAL CALISTRAT HOGAŞ",207,"MUNICIPIUL TECUCI",75203,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:34:18",1919,1914,1,4,0,185,181,0,4,0,182,3,2130,1945,18,8,63,84,0,3,2,2,0,2
18,GALAŢI,"COLEGIUL NAŢIONAL CALISTRAT HOGAŞ",206,"MUNICIPIUL TECUCI",75203,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:54:28",1925,1914,0,10,1,179,168,0,10,1,171,8,2120,1941,10,7,81,55,0,7,7,2,1,1
18,GALAŢI,"COLEGIUL NAŢIONAL CALISTRAT HOGAŞ",208,"MUNICIPIUL TECUCI",75203,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:06:29",1930,1921,0,9,0,268,259,0,9,0,263,5,2150,1882,13,8,92,120,1,5,6,9,4,5
18,GALAŢI,"COLEGIUL NAŢIONAL DE AGRICULTURĂ ŞI ECONOMIE",190,"MUNICIPIUL TECUCI",75203,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:39:44",1148,1139,0,7,2,540,531,0,7,2,534,6,1290,750,30,17,225,222,2,6,18,8,0,6
18,GALAŢI,"COLEGIUL NAŢIONAL DE AGRICULTURĂ ŞI ECONOMIE",189,"MUNICIPIUL TECUCI",75203,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:40:00",931,925,0,5,1,364,358,0,5,1,354,10,1020,656,16,4,166,144,2,2,5,6,0,9
18,GALAŢI,"COLEGIUL NAŢIONAL SPIRU HARET",188,"MUNICIPIUL TECUCI",75203,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:53:56",664,656,0,8,0,248,240,0,8,0,241,7,720,472,13,9,83,118,0,6,4,6,0,2
18,GALAŢI,"COLEGIUL NAŢIONAL SPIRU HARET",187,"MUNICIPIUL TECUCI",75203,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:06:19",1161,1151,0,7,3,550,540,0,7,3,537,13,1270,720,30,17,230,211,1,10,17,14,0,7
18,GALAŢI,"GRĂDINIŢA CU PROGRAM NORMAL ALEGRETO",201,"MUNICIPIUL TECUCI",75203,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:29:31",945,934,3,8,0,385,376,1,8,0,378,7,1040,655,34,13,120,174,1,1,12,16,1,6
18,GALAŢI,"GRĂDINIŢA CU PROGRAM NORMAL NR.1",209,"MUNICIPIUL TECUCI",75203,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:05:06",770,766,0,4,0,276,272,0,4,0,266,10,860,494,21,4,103,119,4,3,1,4,2,5
18,GALAŢI,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 17",192,"MUNICIPIUL TECUCI",75203,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:15:11",825,816,1,7,1,350,342,0,7,1,343,7,920,570,22,9,115,172,0,5,9,6,1,4
18,GALAŢI,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 17",191,"MUNICIPIUL TECUCI",75203,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:35:38",1185,1182,0,2,1,550,547,0,2,1,532,18,1300,78,37,12,221,216,4,10,21,7,1,3
18,GALAŢI,"GRĂDINIŢA CU PROGRAM PRELUNGIT PRICHINDEL",205,"MUNICIPIUL TECUCI",75203,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:13:53",1133,1129,1,2,1,472,469,0,2,1,461,11,1240,768,31,22,155,211,2,7,16,11,1,5
18,GALAŢI,"GRĂDINIŢA CU PROGRAM PRELUNGIT PRICHINDEL",204,"MUNICIPIUL TECUCI",75203,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:09:03",968,963,0,5,0,452,447,0,5,0,445,7,1060,608,33,15,163,197,0,9,13,6,0,9
18,GALAŢI,"LICEUL TEHNOLOGIC ”ELENA CARAGIANI”",210,"MUNICIPIUL TECUCI",75203,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:28:13",1955,1949,0,6,0,256,250,0,6,0,247,9,2160,1904,9,7,78,128,2,3,6,7,2,5
18,GALAŢI,"LICEUL TEHNOLOGIC OVIDIU CALEDONIU",196,"MUNICIPIUL TECUCI",75203,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:54:37",1275,1268,1,5,1,618,611,1,5,1,589,26,1410,792,44,12,215,266,0,7,24,17,1,3
18,GALAŢI,"ŞCOALA GIMNAZIALĂ ANGHEL RUGINĂ TECUCI",178,"MUNICIPIUL TECUCI",75203,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:21:59",1309,1304,1,3,1,559,554,1,3,1,548,11,1450,891,38,6,275,183,1,2,17,22,0,4
18,GALAŢI,"ŞCOALA GIMNAZIALĂ ANGHEL RUGINĂ TECUCI",179,"MUNICIPIUL TECUCI",75203,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:47:29",1487,1485,1,1,0,650,648,1,1,0,638,12,1650,1000,36,21,266,234,0,6,38,31,1,5
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ANGHEL RUGINĂ TECUCI",177,"MUNICIPIUL TECUCI",75203,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:46:29",1254,1252,0,2,0,575,573,0,2,0,558,17,1405,830,48,15,265,159,4,10,20,23,1,13
18,GALAŢI,"ŞCOALA GIMNAZIALĂ DIMITRIE STURDZA TECUCI",180,"MUNICIPIUL TECUCI",75203,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:31:32",923,915,2,6,0,417,411,0,6,0,406,10,1010,593,21,23,125,175,3,7,13,12,1,26
18,GALAŢI,"ŞCOALA GIMNAZIALĂ DIMITRIE STURDZA TECUCI",181,"MUNICIPIUL TECUCI",75203,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:15:25",735,726,0,8,1,323,314,0,8,1,317,6,800,477,21,7,130,132,0,5,11,8,0,3
18,GALAŢI,"ŞCOALA GIMNAZIALĂ GHEORGHE PETRAŞCU TECUCI",182,"MUNICIPIUL TECUCI",75203,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:41:26",979,971,0,8,0,380,372,0,8,0,352,28,1070,690,17,16,152,141,2,6,7,7,1,3
18,GALAŢI,"ŞCOALA GIMNAZIALĂ GHEORGHE PETRAŞCU TECUCI",183,"MUNICIPIUL TECUCI",75203,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:04:48",1461,1456,0,4,1,586,581,0,4,1,568,18,1610,1024,33,10,251,220,4,10,16,15,1,8
18,GALAŢI,"ŞCOALA GIMNAZIALĂ ION PETROVICI TECUCI",185,"MUNICIPIUL TECUCI",75203,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:06:38",982,966,0,4,12,430,414,0,4,12,407,23,1080,650,29,12,168,159,2,9,6,14,3,5
18,GALAŢI,"ŞCOALA GIMNAZIALĂ ION PETROVICI TECUCI",186,"MUNICIPIUL TECUCI",75203,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:57:12",676,665,0,10,1,296,285,0,10,1,282,4,730,444,24,5,103,115,3,13,9,7,0,3
18,GALAŢI,"ŞCOALA GIMNAZIALĂ IORGU IORDAN",195,"MUNICIPIUL TECUCI",75203,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:01:46",1149,1147,0,2,0,548,546,0,2,0,542,6,1270,722,20,17,217,241,1,6,24,11,1,4
18,GALAŢI,"ŞCOALA GIMNAZIALĂ IORGU IORDAN",194,"MUNICIPIUL TECUCI",75203,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:44:59",1072,1070,0,2,0,451,449,0,2,0,441,10,1180,729,34,17,126,225,0,4,19,7,1,8
18,GALAŢI,"ŞCOALA GIMNAZIALĂ IORGU IORDAN",193,"MUNICIPIUL TECUCI",75203,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:25:49",779,772,2,5,0,350,345,0,5,0,336,14,850,500,16,11,119,159,1,8,6,11,0,5
18,GALAŢI,"ŞCOALA GIMNAZIALĂ NICOLAE BĂLCESCU",199,"MUNICIPIUL TECUCI",75203,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:21:28",1084,1077,0,6,1,519,512,0,6,1,475,37,1190,678,35,8,211,194,1,1,11,11,0,3
18,GALAŢI,"ŞCOALA GIMNAZIALĂ NICOLAE BĂLCESCU",200,"MUNICIPIUL TECUCI",75203,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:34:20",1033,1026,1,6,0,479,473,0,6,0,468,11,1130,651,37,12,158,213,1,10,9,18,3,7
18,GALAŢI,"ŞCOALA GIMNAZIALĂ ŞTEFAN OCTAVIAN IOSIF",197,"MUNICIPIUL TECUCI",75203,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:21:41",1354,1350,0,3,1,607,603,0,3,1,580,27,1490,883,54,13,233,234,1,6,18,16,0,5
18,GALAŢI,"ŞCOALA GIMNAZIALĂ ŞTEFAN OCTAVIAN IOSIF",198,"MUNICIPIUL TECUCI",75203,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:30:41",1051,1041,2,8,0,449,441,0,8,0,439,10,1170,721,29,16,156,203,0,7,12,10,0,6
18,GALAŢI,"SPAŢIU ADMINISTRATIV",202,"MUNICIPIUL TECUCI",75203,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:37:15",1155,1148,0,7,0,488,481,0,7,0,474,14,1270,782,26,12,178,201,0,5,33,15,2,2
18,GALAŢI,"SPAŢIU ADMINISTRATIV",203,"MUNICIPIUL TECUCI",75203,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:18:33",960,949,0,7,4,494,483,0,7,4,475,19,1050,556,32,7,225,157,0,2,36,6,0,10
18,GALAŢI,"SPAŢIU ALIMENTAŢIE PUBLICĂ OBOR",184,"MUNICIPIUL TECUCI",75203,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:59:27",1555,1531,11,9,4,628,615,0,9,4,593,35,1690,1062,25,12,221,286,4,3,11,18,1,12
