precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL PRO ROMÂNIA-voturi","PACT PENTRU GALAȚI-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL CONSERVATOR DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","RUSU DĂNUŢ-voturi"
18,GALAŢI,"SCOALA GENERALĂ NR.2 PETRU RAREŞ",303,FRUMUŞIŢA,76317,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:02:15",820,805,0,4,11,438,423,0,4,11,415,23,970,532,32,96,220,18,1,3,1,0,25,7,1,7,4
18,GALAŢI,"SCOALA GENERALĂ PUPEZENI",230,BĂLĂŞEŞTI,75613,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:24:13",162,149,0,5,8,88,75,0,5,8,80,8,164,76,1,6,63,9,0,0,1,0,0,0,0,0,0
18,GALAŢI,"SCOALA GENERALA TĂMĂOANI",305,FRUMUŞIŢA,76317,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:21:01",976,958,0,4,14,518,500,0,4,14,491,27,1027,509,43,152,241,16,3,1,0,0,23,6,0,6,0
18,GALAŢI,"SCOALA GENERALĂ TRAIAN",243,BRANIŞTEA,75711,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-15 13:28:57",491,480,0,8,3,286,275,0,8,3,281,5,529,243,0,20,186,39,4,1,0,1,6,2,2,17,3
18,GALAŢI,"SCOALA GENERALA URLEŞTI",264,CORNI,76004,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 20:10:05",368,345,0,14,9,257,234,0,14,9,237,20,384,127,2,11,91,9,0,0,0,0,1,0,1,122,0
18,GALAŢI,"SCOALA GENERALA VASILE ALECSANDRI",244,BRANIŞTEA,75711,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-15 13:29:43",929,879,0,20,30,584,534,0,20,30,565,19,1000,416,3,66,405,58,1,1,0,2,10,3,4,11,1
18,GALAŢI,"ȘCOALA GIMNAZIALĂ „ALEXANDRU MORUZI” PECHEA",371,PECHEA,76969,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:33:25",1403,1397,0,5,1,616,610,0,5,1,592,24,1550,934,5,159,332,39,1,1,0,3,10,30,0,12,0
18,GALAŢI,"ŞCOALA GIMNAZIALĂ ANGHEL RUGINĂ TECUCI",178,"MUNICIPIUL TECUCI",75203,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 19:35:43",1309,1304,1,3,1,559,554,1,3,1,542,17,1450,891,4,234,199,47,11,2,4,0,27,3,2,4,5
18,GALAŢI,"ŞCOALA GIMNAZIALĂ ANGHEL RUGINĂ TECUCI",179,"MUNICIPIUL TECUCI",75203,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 19:48:31",1487,1485,1,1,0,650,648,1,1,0,631,19,1650,1000,5,215,275,44,15,0,4,5,33,5,2,23,5
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ANGHEL RUGINĂ TECUCI",177,"MUNICIPIUL TECUCI",75203,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:46:29",1254,1252,0,2,0,575,573,0,2,0,558,17,1409,834,4,233,194,58,7,1,0,4,26,6,1,17,7
