precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ANDREESCU GRIGORE-PARTIDUL SOCIAL DEMOCRAT-voturi","VOICU IONUŢ-GEORGIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","NEAGU NONICA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","OPRESCU GHEORGHE-PARTIDUL ROMÂNI PENTRU ROMÂNIA-voturi"
31,PRAHOVA,"GRĂDINIŢA CU PROGRAM NORMAL PĂCUREŢI",491,PĂCUREŢI,134336,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:49:53",1021,934,0,60,27,735,657,0,60,18,725,9,1001,267,239,313,161,12
31,PRAHOVA,"ŞCOALA GIMNAZIALĂ",492,PĂCUREŢI,134336,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:28:47",634,616,1,11,6,431,413,1,11,6,414,17,701,270,118,176,119,1
