precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SEVERIN FLORINEL-DANIEL-UNIUNEA SALVAȚI ROMÂNIA-voturi","TODERAŞC ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","DRĂGAN DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BACLOV MIHAELA-BEATRICE-PARTIDUL NAȚIONAL LIBERAL-voturi","ION RALUCA-FORȚA DREPTEI-voturi"
41,VRANCEA,"LICEUL TEHNOLOGIC ”EREMIA GRIGORESCU”",77,"ORAŞ MĂRĂŞEŞTI",174922,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:03:07",1563,1552,5,5,1,593,586,1,5,1,577,13,923,333,24,315,131,93,14
41,VRANCEA,"LICEUL TEHNOLOGIC ”EREMIA GRIGORESCU”",78,"ORAŞ MĂRĂŞEŞTI",174922,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:15:14",1417,1384,2,4,27,578,547,0,4,27,551,27,1524,946,27,241,149,107,27
41,VRANCEA,"ŞCOALA DOAGA",81,"ORAŞ MĂRĂŞEŞTI",174922,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:01:03",222,214,0,8,0,77,69,0,8,0,70,7,235,158,6,20,20,18,6
41,VRANCEA,"ŞCOALA GIMNAZIALĂ ”ECATERINA TEODOROIU”",75,"ORAŞ MĂRĂŞEŞTI",174922,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:39:20",766,759,0,5,2,320,313,0,5,2,302,12,843,529,5,109,119,60,9
41,VRANCEA,"ŞCOALA GIMNAZIALĂ ”ECATERINA TEODOROIU”",74,"ORAŞ MĂRĂŞEŞTI",174922,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:03:18",1333,1324,0,3,6,646,637,0,3,6,629,17,1455,809,23,245,205,144,12
41,VRANCEA,"ŞCOALA GIMNAZIALĂ NR.2",79,"ORAŞ MĂRĂŞEŞTI",174922,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:49:27",1156,1144,3,8,1,444,435,0,8,1,430,14,1258,814,29,207,120,58,16
41,VRANCEA,"ŞCOALA GIMNAZIALĂ NR.2",80,"ORAŞ MĂRĂŞEŞTI",174922,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:01:27",307,297,0,9,1,119,109,0,9,1,114,5,324,205,1,48,35,23,7
41,VRANCEA,"ŞCOALA PĂDURENI",84,"ORAŞ MĂRĂŞEŞTI",174922,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:47:45",413,401,0,10,2,203,191,0,10,2,197,6,440,237,7,77,24,86,3
41,VRANCEA,"ŞCOALA PRIMARĂ CĂLIMĂNEŞTI",82,"ORAŞ MĂRĂŞEŞTI",174922,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:16:26",466,460,0,6,0,244,238,0,6,0,230,14,504,260,5,107,87,23,8
41,VRANCEA,"ŞCOALA PRIMARĂ HARET",83,"ORAŞ MĂRĂŞEŞTI",174922,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:57:41",304,297,0,5,2,304,297,0,5,2,293,10,585,282,25,132,66,59,11
41,VRANCEA,"ŞCOALA PRIMARĂ ”SIRETU”",76,"ORAŞ MĂRĂŞEŞTI",174922,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:34:28",1913,1904,0,7,2,722,713,0,7,2,624,98,2099,1377,7,228,321,50,18
