precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NEDELCU VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TUDURACHE CONSTANTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","PĂDURARU CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","GAMAN GHEORGHE-UNIUNEA SALVAȚI ROMÂNIA-voturi","IACOB IULIAN-CORNEL-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
29,NEAMŢ,"CĂMINUL CULTURAL",248,DOCHIA,125098,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:19:33",110,104,0,6,0,57,51,0,6,0,52,5,188,131,10,6,22,1,13
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ NR.1",246,DOCHIA,125098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:50:30",793,787,1,5,0,416,411,0,5,0,395,21,900,428,20,61,166,21,127
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ NR.1",247,DOCHIA,125098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:16:19",1084,1075,1,7,1,621,612,1,7,1,582,39,1128,507,31,69,251,29,202
